Sl_no,SRO,YEAR,LOCATION
330, Central -Asaf Ali (SR III),2021-2022, Sat Nagar
331, Central -Asaf Ali (SR III),2021-2022, Savitri Nagar*
332, Central -Asaf Ali (SR III),2021-2022, Sewa Nagar*
333, Central -Asaf Ali (SR III),2021-2022, Shadi Khampur*
334, Central -Asaf Ali (SR III),2021-2022, Shah Ganj (Bazar Sita Ram)
335, Central -Asaf Ali (SR III),2021-2022, Shahbad Mohammad Pur*
336, Central -Asaf Ali (SR III),2021-2022, Shahpur Jat*
337, Central -Asaf Ali (SR III),2021-2022, Shahurpur*
338, Central -Asaf Ali (SR III),2021-2022, Shakti Nagar*
339, Central -Asaf Ali (SR III),2021-2022, Shakur Basti*
340, Central -Asaf Ali (SR III),2021-2022, Shalimar Bagh*
341, Central -Asaf Ali (SR III),2021-2022, Shastri Park(Beadan Pura)
342, Central -Asaf Ali (SR III),2021-2022, Sheesh Mahal (Darya Ganj)
343, Central -Asaf Ali (SR III),2021-2022, Shiv Nagar*
344, Central -Asaf Ali (SR III),2021-2022, Shivaji Park*
345, Central -Asaf Ali (SR III),2021-2022, Shivalik*
346, Central -Asaf Ali (SR III),2021-2022, Shora Kothi (Pahar Ganj)
347, Central -Asaf Ali (SR III),2021-2022, Shora Kothi*
348, Central -Asaf Ali (SR III),2021-2022, Shyam Nagar*
349, Central -Asaf Ali (SR III),2021-2022, Siddi Pura
350, Central -Asaf Ali (SR III),2021-2022, Sidharth Basti*
351, Central -Asaf Ali (SR III),2021-2022, Sita Ram Bazar*
352, Central -Asaf Ali (SR III),2021-2022, South Patel Nagar*
353, Central -Asaf Ali (SR III),2021-2022, Sriniwaspuri*
354, Central -Asaf Ali (SR III),2021-2022, Subhash Nagar
355, Central -Asaf Ali (SR III),2021-2022, Subzi Mandi*
356, Central -Asaf Ali (SR III),2021-2022, Sui Walan
357, Central -Asaf Ali (SR III),2021-2022, Suiwalan*
358, Central -Asaf Ali (SR III),2021-2022, Sukhdev Vihar*
359, Central -Asaf Ali (SR III),2021-2022, Sunder Nagar*
